No;Nama;Rating;Review;Link
70;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Sbelum d kirim sudah bilang sama seller ny suruh cek kondisi giliran sampe tmbol ny gak sepenuhnya normal , stelah sya bongkar sndiri bisa normal kmbali hhh;
71;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Pengiriman cepat, harga terjangkau, tapi tombol spacenya kok gak simetris ya? cuma bagian sisi kiri yang bisa ditekan, bagian kanan dan tengahnya gak aktif, semoga awetlah.;
72;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Mohon maaf karena kasih bintang 3, tapi keyboard baru dipakai 2 hari sudah error padahal pemakaian sehari tidak sampai 1 jam;
73;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Packing oke lah. Pengiriman cepet. Barang sampai di alamat tujuan tepat waktu. Tapi sayang barangnya ada yang gak bisa kepakai. Seharusnya di cek lagi dong sebelum di kirim. Agak kecewa sih.;
74;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Barang sudah sampai, lumayan sudah di coba lancar jaya tapi tombol spasi y kurang bos. terima kasih;
75;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Secara fisik bagus. Cuma tombol angka kok gak fungsi gimana? Cuma muncul simbol2 doang;
76;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;keyboard tdk bisa dipakai, banyak tombol yang ngejem.;
77;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Kecewa sih liat barang sampai Di tangan kayak gini, mohon nextnya lebih diperhatikan lagi, biar pembeli senang dan puas terima brangnya,, ;
78;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Maaf , tidak sesuai pesanan, saya pesennya keyboard 1 , mouse 1, micro-sd 1, tapi yang datang malah mousenya 2 micro-sd 1, sangat mengecewakan;
79;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Barang sudah saya terima tp tombol F4nya trus brgerak sendiri, dan keyboardnya susah di pakai krna 1 tombol rusak;
80;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Barang sudah sampai pengiriman sangat lama solo sragen 4 hari dan barang gk bisa di paki alias rusak.;
81;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Barang udh sampai and that's all okey. Puas??;https://shopee.co.id/%E3%80%90COD%E3%80%91Jovitech-Pengukiran-Laser-Paket-Gaming-Keyboard-dan-Mouse-RGB-G12-Gaming-USB-Cable-RGB-mechanical-i.409837563.8047099423?sp_atk=c0b536ae-90bd-4c79-8153-75a586d3d68b&xptdk=c0b536ae-90bd-4c79-8153-75a586d3d68b
82;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Barang bagus rekomen bat beli disini kualitas juga mantap gan;
83;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Real fix;
84;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Bagus, bagus, sesuai pesanan, sudah pesan beberapa kali disini dan tokoh sudah rekomended, langsung sampai langsung di pakai.;
85;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Pengiriman cepat. Barang sangat bagus. Recommended. Adminnya oklah.;
86;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Pesanan sudah sampai, tp kok lampu keyboardnya cuma putih aja ya, ga RGB?;
87;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Pas ditanya katanya mekanik, tapi kayanya bukan deh, mungkin semi mekanik, soalnya rada keras gitu. Packing rapih, pengiriman cepat. Harga murah. Ga bisa ngasih bintang 5 tapi;
88;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Barang sudah mendarat dengan baik...kemasan bagus...ok juga keybord ala gaming wkwkwkkkkk..;
89;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Dari segi bentuk ovel all bagus, warna lampu terang, mouse + keyboard memang rekomendasi sii;
90;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Tombol space macet di bawah, dan harus dinaikkan secara manual. Dan untuk mouse, tidak bisa scroll. Begitu barang datang, penjual tidak lagi merespon chat saya, kecuali bot. Semoga respon penjual dan kualitas pengemasan dapat ditingkatkan.;
91;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Key f10 rusak saat sampai, tapi led, keyboard dan mouse berfungsi dengan baik;
92;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Tidak sesuai pesanan,pesan warna putih yang datang hitam;
93;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Selama ini aku ga pernah kasih penilaian seperti ini,.. tp ko ga berkenan aja,.. jadi ga jelas, sdh dikonfirmasi mau balikin krn brg tdk berfungsi dngn baik... kan mubajir kalo akirnya cm masuk kotak sampah...;
94;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Ini kenapa yaa, pas lampunya nyala egk bisa ketik, pas kabelnya di colok ke banget baru bisa ngetik tapi lampunya matiii;
95;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;keyboard nya bagus, tapi sayang pas saya buka keycaps esc nya patah di dalam ?? gatau juga dari packagingnya atau saat perjalanannya, jadi maaf saya kasih bintang 2 ??;
96;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;2;Pas ditanya katanya mechanical, pas nyampe ternyata membrane. Harusnya seller lebih jujur dengan produk yang di jual. Memang harga murah tapi jangan buat clickbait. Jujur itu hebat;
97;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Memang sih sesuai harga , tapi ga gini juga kali , usb nya rusak , belum juga di coba atau apa , lain kali di check dulu lah;
98;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Memang sih sesuai harga , tapi ga gini juga kali , usb nya rusak , belum juga di coba atau apa , lain kali di check dulu lah;
99;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Tidak sesuai harapan , lampu rgbnya gal hidup , pelayanan slow respon;
100;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;1;Cmn mousenya aja yg jadi.. keyboard yg gak jadi.. mohon kalau mau dikirim k pembeli di coba dulu.. TERIMAKASIH!!!;
101;AUXOM Paket Keyboard Gaming dan Mouse ;5;Produk nya sangat bagus dan berkualitas... Pengirimannya juga sangat cepat... Order kemarin, sekarang udah nyampe... Warna led nya juga bagus... ;https://shopee.co.id/AUXOM-Paket-Keyboard-Gaming-dan-Mouse-Set-Mouse-Dan-Keycaps-Mechanical-Keyboard-Laptop-USB-Cable-Keyboard-Komputer-i.147662308.6524502049?sp_atk=a77e85ff-61f8-45e5-9d2c-bde333b15f2e&xptdk=a77e85ff-61f8-45e5-9d2c-bde333b15f2e
102;AUXOM Paket Keyboard Gaming dan Mouse ;5;Yang punya lapak fast respon,barang cepat sampai, tidak ada kendala pada barang yang di pesan.;
103;AUXOM Paket Keyboard Gaming dan Mouse ;5;Barang sampai dengan selamat, barang realpict, kualitas bagus, pengiriman juga cepat, kurir ramah, seller fast respon, the best lah pokoknya ????;
104;AUXOM Paket Keyboard Gaming dan Mouse ;5; barang sampe sesuai perkiraan. semua berfungsi dengan baik. dibungkus rapih. keren sih buat harga segitu. thank u buat seller. dan semoga awet;
105;AUXOM Paket Keyboard Gaming dan Mouse ;4;Lumayan lah keyboard ny, cuma agak lama pengiriman doank ;
106;AUXOM Paket Keyboard Gaming dan Mouse ;4;Barang sesuai harga sangat ringan banget, tapi ketika dibuka ada tombol keyboard terlepas. Selanjutnya mohon diperhatikan ya kak. Thanks;
107;AUXOM Paket Keyboard Gaming dan Mouse ;4;Thank you seller, pas banget keyboarku lagi ngadat. semoga awet yaa ?;
108;AUXOM Paket Keyboard Gaming dan Mouse ;4;Ga nuntut banyak sih. Cuman krn polos jd lucu kalo dipakein stiker. Sayangnya setelah dipake 1 mgg kadang suka kyak lepas koneksi gtu tp sbntar. Trus pas lg meeting ntah knp malah jd ada feedback di suara. Pdhal biasanya nggk.;
109;AUXOM Paket Keyboard Gaming dan Mouse ;3;TIDAK SESUAI PESANAN, PESAN HITAM YANG DATANG WARNA PUTIH. TAPI GAPAPA... ASAL WORKING SEMUANYA;
110;AUXOM Paket Keyboard Gaming dan Mouse ;3;Beli warna hitam tapi warna putih yang dikirim.. ditanyain tapi pura2 gatau dan ga nyambung! Pengiriman lama.! ;
111;AUXOM Paket Keyboard Gaming dan Mouse ;3;Bagus si sayang gk bisa ganti ganti rgb nya jd kurang wah ;
112;AUXOM Paket Keyboard Gaming dan Mouse ;3;Sejauh ini aman tidak ada kerusakan, barang ok sudah dites ga tau kedepannya bisa tahan brp lama. Packing lama begitupun pengiriman. ;
113;AUXOM Paket Keyboard Gaming dan Mouse ;2;Ada 1 tombol rusak dan packingan nya ada yg berlobang ,mungkin saat perjalanan ,terima kasi pengiriman nya oke cepat.;
114;AUXOM Paket Keyboard Gaming dan Mouse ;2;Kecewa packing kurang rapih pengirman agak lambat barang pecah mau gimana lagi yaa sudah lah;
115;AUXOM Paket Keyboard Gaming dan Mouse ;2;Tombol spasinya terbenam kalau di tekan. Gak mau kembali seperti semula. Harus di naikin sendiri;
116;AUXOM Paket Keyboard Gaming dan Mouse ;2;Kualitas barang sangatlah ringkih mudah copot tombolnya,kurang rekomendasi mendingan tambh dikit beli logitech atau key plus mouse build up second;
117;AUXOM Paket Keyboard Gaming dan Mouse ;1;Barang sampai kemasan dalam keadaan peok...dibuka ternyata melengkung...belakang retak...penjual udah dichat low respon...kita harap bisa diajuakan pengembalian...tapi penjual tidak tanggap....kecewa.saya sudah bermusyawarah...tapi gak ada respon;
118;AUXOM Paket Keyboard Gaming dan Mouse ;1;Minta putih sesaui keterangan, malah di kasih hitam.. ga baik bro udah mah lama di chat nya.. Gimana sih luu.. yang amanah dong takut kena karma lu ;
119;AUXOM Paket Keyboard Gaming dan Mouse ;1;Barang tidak sesuai. Keyboard tidak bisa digunakan;
